retired_dataset_id,retired_name,replacement_dataset_id,replacement_name,replacement_path
ord_dataset-912d62c1690b4ebfbe998c0c9baf88a8,uspto-grants-1979_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d9fb402fe3e745c1893a29161cc5dda2,uspto-grants-1980_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-9240b22758dd4f9e981f9ad2d5394155,uspto-grants-1980_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b1bf0950b5cb430abbb1d80744f5df84,uspto-grants-1980_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d986d6c6630b41ee8d401fd85be47701,uspto-grants-1980_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8af141577c90485cb9c91079a5ef96b3,uspto-grants-1980_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b5f1497361c94e5fa55257200189a6a4,uspto-grants-1980_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-dabcd66611f34094b1baca0095305a66,uspto-grants-1980_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-cb0fdfa937234c78b020ec878a93b94c,uspto-grants-1980_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-06d4002fc4d34860a0688cba690e12dc,uspto-grants-1980_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
